[WARN ] 2021-04-05 10:58:32,345 com.rds.utils.Api - Failed to parse the following json while querying account holdings: {"code":-1021,"msg":"Timestamp for this request is outside of the recvWindow."}
[WARN ] 2021-04-05 10:58:32,345 com.rds.Runner - Failed to get initial BTC holdings
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 46.271567005435976. MACD: 2.5284980482666596E-4. Average: 0.03546591119402986
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.0354125
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 48.05473735886138. MACD: 2.296833359753921E-4. Average: 0.035465125735294124
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.03540655
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 54.257604101711564. MACD: 2.2753639801960824E-4. Average: 0.03546427681159421
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.03538670000000001
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 59.993871140733965. MACD: 2.1882941675357905E-4. Average: 0.03546316857142858
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.03540025000000001
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 61.6449821197593. MACD: 1.6755999733616614E-4. Average: 0.035462282394366204
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.035340649999999994
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 65.20199581522542. MACD: 8.346599020537606E-5. Average: 0.035460593055555566
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.0352935
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 38.51990194934042. MACD: 2.017276715274024E-6. Average: 0.03545830410958905
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.0352556
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 27.731798008875515. MACD: -8.846107598948545E-5. Average: 0.035455564864864876
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.035284949999999995
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 43.76509661835727. MACD: -7.416109808520044E-5. Average: 0.035453290000000005
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - Algorithm now has sufficient data to initiate buy and sell orders
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.0351189
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 10.855263157894584. MACD: -3.996821636435901E-5. Average: 0.035450910666666675
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.03516394999999999
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 20.72093297207971. MACD: -6.616712791557222E-5. Average: 0.035449341999999995
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.0351614
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 20.888255551595762. MACD: -6.629802071015197E-5. Average: 0.03544557199999999
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.0350115
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 15.958991108690228. MACD: -6.50952328236894E-5. Average: 0.03543943733333332
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.03502865000000001
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 16.504416801874385. MACD: -4.6833465402352226E-5. Average: 0.035433454666666656
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.03505105
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 22.019323671496508. MACD: -2.9295993965033703E-5. Average: 0.035426984666666654
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.035085599999999995
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - RSI: 29.411764705880657. MACD: 2.6706540820957365E-6. Average: 0.035419784666666655
[INFO ] 2021-04-05 10:58:32,435 com.rds.algorithms.Algorithm - New average value: 0.035143350000000004
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 39.30443068127687. MACD: -1.1210446765343588E-5. Average: 0.03541340399999999
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.0351463
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 36.08909401023334. MACD: -4.6882838994505234E-5. Average: 0.03540819599999999
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.03521824999999999
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 62.288188002473404. MACD: -6.482086681920742E-5. Average: 0.03540348666666666
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.03530389999999999
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 65.73002135551368. MACD: -5.988351619784374E-5. Average: 0.03539880999999999
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.035333550000000005
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 68.23816082212107. MACD: -9.898290049642128E-5. Average: 0.035394453999999985
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.0353134
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 94.1116306253644. MACD: -9.785750191512862E-5. Average: 0.035389913999999995
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - New average value: 0.03530745
[INFO ] 2021-04-05 10:58:32,436 com.rds.algorithms.Algorithm - RSI: 92.11480362537533. MACD: -1.2464702907987707E-4. Average: 0.03538425
